Quarter,Region,State,Purpose,Trips
1998 Q1,Adelaide,South Australia,Business,135
1998 Q2,Adelaide,South Australia,Business,110
1998 Q3,Adelaide,South Australia,Business,166
1998 Q4,Adelaide,South Australia,Business,127
1999 Q1,Adelaide,South Australia,Business,137
1999 Q2,Adelaide,South Australia,Business,200
1999 Q3,Adelaide,South Australia,Business,169
1999 Q4,Adelaide,South Australia,Business,134
2000 Q1,Adelaide,South Australia,Business,154
2000 Q2,Adelaide,South Australia,Business,169
2000 Q3,Adelaide,South Australia,Business,223
2000 Q4,Adelaide,South Australia,Business,241
2001 Q1,Adelaide,South Australia,Business,133
2001 Q2,Adelaide,South Australia,Business,178
2001 Q3,Adelaide,South Australia,Business,196
2001 Q4,Adelaide,South Australia,Business,101
2002 Q1,Adelaide,South Australia,Business,238
2002 Q2,Adelaide,South Australia,Business,151
2002 Q3,Adelaide,South Australia,Business,168
2002 Q4,Adelaide,South Australia,Business,140
2003 Q1,Adelaide,South Australia,Business,139
2003 Q2,Adelaide,South Australia,Business,160
2003 Q3,Adelaide,South Australia,Business,232
2003 Q4,Adelaide,South Australia,Business,159
2004 Q1,Adelaide,South Australia,Business,138
2004 Q2,Adelaide,South Australia,Business,230
2004 Q3,Adelaide,South Australia,Business,242
2004 Q4,Adelaide,South Australia,Business,123
2005 Q1,Adelaide,South Australia,Business,128
2005 Q2,Adelaide,South Australia,Business,73
2005 Q3,Adelaide,South Australia,Business,167
2005 Q4,Adelaide,South Australia,Business,122
2006 Q1,Adelaide,South Australia,Business,127
2006 Q2,Adelaide,South Australia,Business,176
2006 Q3,Adelaide,South Australia,Business,158
2006 Q4,Adelaide,South Australia,Business,107
2007 Q1,Adelaide,South Australia,Business,134
2007 Q2,Adelaide,South Australia,Business,169
2007 Q3,Adelaide,South Australia,Business,146
2007 Q4,Adelaide,South Australia,Business,135
2008 Q1,Adelaide,South Australia,Business,127
2008 Q2,Adelaide,South Australia,Business,152
2008 Q3,Adelaide,South Australia,Business,152
2008 Q4,Adelaide,South Australia,Business,161
2009 Q1,Adelaide,South Australia,Business,114
2009 Q2,Adelaide,South Australia,Business,153
2009 Q3,Adelaide,South Australia,Business,122
2009 Q4,Adelaide,South Australia,Business,191
2010 Q1,Adelaide,South Australia,Business,69
2010 Q2,Adelaide,South Australia,Business,182
2010 Q3,Adelaide,South Australia,Business,121
2010 Q4,Adelaide,South Australia,Business,155
2011 Q1,Adelaide,South Australia,Business,110
2011 Q2,Adelaide,South Australia,Business,148
2011 Q3,Adelaide,South Australia,Business,141
2011 Q4,Adelaide,South Australia,Business,149
2012 Q1,Adelaide,South Australia,Business,127
2012 Q2,Adelaide,South Australia,Business,155
2012 Q3,Adelaide,South Australia,Business,150
2012 Q4,Adelaide,South Australia,Business,178
2013 Q1,Adelaide,South Australia,Business,102
2013 Q2,Adelaide,South Australia,Business,101
2013 Q3,Adelaide,South Australia,Business,180
2013 Q4,Adelaide,South Australia,Business,143
2014 Q1,Adelaide,South Australia,Business,139
2014 Q2,Adelaide,South Australia,Business,155
2014 Q3,Adelaide,South Australia,Business,186
2014 Q4,Adelaide,South Australia,Business,168
2015 Q1,Adelaide,South Australia,Business,143
2015 Q2,Adelaide,South Australia,Business,168
2015 Q3,Adelaide,South Australia,Business,176
2015 Q4,Adelaide,South Australia,Business,187
2016 Q1,Adelaide,South Australia,Business,182
2016 Q2,Adelaide,South Australia,Business,188
2016 Q3,Adelaide,South Australia,Business,196
2016 Q4,Adelaide,South Australia,Business,152
2017 Q1,Adelaide,South Australia,Business,129
2017 Q2,Adelaide,South Australia,Business,174
2017 Q3,Adelaide,South Australia,Business,185
2017 Q4,Adelaide,South Australia,Business,197
1998 Q1,Adelaide,South Australia,Holiday,224
1998 Q2,Adelaide,South Australia,Holiday,130
1998 Q3,Adelaide,South Australia,Holiday,156
1998 Q4,Adelaide,South Australia,Holiday,182
1999 Q1,Adelaide,South Australia,Holiday,185
1999 Q2,Adelaide,South Australia,Holiday,135
1999 Q3,Adelaide,South Australia,Holiday,136
1999 Q4,Adelaide,South Australia,Holiday,169
2000 Q1,Adelaide,South Australia,Holiday,184
2000 Q2,Adelaide,South Australia,Holiday,134
2000 Q3,Adelaide,South Australia,Holiday,145
2000 Q4,Adelaide,South Australia,Holiday,151
2001 Q1,Adelaide,South Australia,Holiday,160
2001 Q2,Adelaide,South Australia,Holiday,133
2001 Q3,Adelaide,South Australia,Holiday,154
2001 Q4,Adelaide,South Australia,Holiday,181
2002 Q1,Adelaide,South Australia,Holiday,169
2002 Q2,Adelaide,South Australia,Holiday,114
2002 Q3,Adelaide,South Australia,Holiday,130
2002 Q4,Adelaide,South Australia,Holiday,130
2003 Q1,Adelaide,South Australia,Holiday,147
2003 Q2,Adelaide,South Australia,Holiday,127
2003 Q3,Adelaide,South Australia,Holiday,149
2003 Q4,Adelaide,South Australia,Holiday,111
2004 Q1,Adelaide,South Australia,Holiday,187
2004 Q2,Adelaide,South Australia,Holiday,136
2004 Q3,Adelaide,South Australia,Holiday,113
2004 Q4,Adelaide,South Australia,Holiday,158
2005 Q1,Adelaide,South Australia,Holiday,142
2005 Q2,Adelaide,South Australia,Holiday,120
2005 Q3,Adelaide,South Australia,Holiday,161
2005 Q4,Adelaide,South Australia,Holiday,149
2006 Q1,Adelaide,South Australia,Holiday,192
2006 Q2,Adelaide,South Australia,Holiday,164
2006 Q3,Adelaide,South Australia,Holiday,138
2006 Q4,Adelaide,South Australia,Holiday,165
2007 Q1,Adelaide,South Australia,Holiday,186
2007 Q2,Adelaide,South Australia,Holiday,181
2007 Q3,Adelaide,South Australia,Holiday,134
2007 Q4,Adelaide,South Australia,Holiday,156
2008 Q1,Adelaide,South Australia,Holiday,182
2008 Q2,Adelaide,South Australia,Holiday,148
2008 Q3,Adelaide,South Australia,Holiday,130
2008 Q4,Adelaide,South Australia,Holiday,152
2009 Q1,Adelaide,South Australia,Holiday,148
2009 Q2,Adelaide,South Australia,Holiday,151
2009 Q3,Adelaide,South Australia,Holiday,158
2009 Q4,Adelaide,South Australia,Holiday,167
2010 Q1,Adelaide,South Australia,Holiday,190
2010 Q2,Adelaide,South Australia,Holiday,134
2010 Q3,Adelaide,South Australia,Holiday,108
2010 Q4,Adelaide,South Australia,Holiday,160
2011 Q1,Adelaide,South Australia,Holiday,170
2011 Q2,Adelaide,South Australia,Holiday,175
2011 Q3,Adelaide,South Australia,Holiday,109
2011 Q4,Adelaide,South Australia,Holiday,166
2012 Q1,Adelaide,South Australia,Holiday,170
2012 Q2,Adelaide,South Australia,Holiday,125
2012 Q3,Adelaide,South Australia,Holiday,149
2012 Q4,Adelaide,South Australia,Holiday,154
2013 Q1,Adelaide,South Australia,Holiday,171
2013 Q2,Adelaide,South Australia,Holiday,128
2013 Q3,Adelaide,South Australia,Holiday,131
2013 Q4,Adelaide,South Australia,Holiday,118
2014 Q1,Adelaide,South Australia,Holiday,207
2014 Q2,Adelaide,South Australia,Holiday,171
2014 Q3,Adelaide,South Australia,Holiday,158
2014 Q4,Adelaide,South Australia,Holiday,143
2015 Q1,Adelaide,South Australia,Holiday,212
2015 Q2,Adelaide,South Australia,Holiday,122
2015 Q3,Adelaide,South Australia,Holiday,141
2015 Q4,Adelaide,South Australia,Holiday,189
2016 Q1,Adelaide,South Australia,Holiday,199
2016 Q2,Adelaide,South Australia,Holiday,177
2016 Q3,Adelaide,South Australia,Holiday,154
2016 Q4,Adelaide,South Australia,Holiday,147
2017 Q1,Adelaide,South Australia,Holiday,216
2017 Q2,Adelaide,South Australia,Holiday,202
2017 Q3,Adelaide,South Australia,Holiday,164
2017 Q4,Adelaide,South Australia,Holiday,214
1998 Q1,Adelaide,South Australia,Other,58
1998 Q2,Adelaide,South Australia,Other,39
1998 Q3,Adelaide,South Australia,Other,38
1998 Q4,Adelaide,South Australia,Other,34
1999 Q1,Adelaide,South Australia,Other,26
1999 Q2,Adelaide,South Australia,Other,55
1999 Q3,Adelaide,South Australia,Other,29
1999 Q4,Adelaide,South Australia,Other,45
2000 Q1,Adelaide,South Australia,Other,56
2000 Q2,Adelaide,South Australia,Other,81
